"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:35:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:38:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:38:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:38:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:39:17 AM",NA,NA,NA,"195.5","2.55","1.5","5","NBA"
"07:39:41 AM",NA,NA,NA,"195.5","2.55","1.5","5","NBA"
"07:39:59 AM",NA,NA,NA,"195.5","2.55","1.5","5","NBA"
"07:40:19 AM",NA,NA,NA,"195.5","2.55","1.5","5","NBA"
"07:40:39 AM",NA,NA,NA,"195.5","2.55","1.5","5","NBA"
"07:41:10 AM",NA,NA,NA,"195.5","2.55","1.5","5","NBA"
"07:41:50 AM",NA,NA,NA,"195.5","2.6","1.48","4","NBA"
"07:42:13 AM","11:47 1st",NA,NA,"195.5","2.85","1.4","5","NBA"
"07:42:32 AM","11:23 1st","Q1","2","196.5","2.7","1.44","5","NBA"
"07:42:51 AM","10:45 1st","Q1","4","196.5","2.7","1.44","5","NBA"
"07:43:02 AM","10:26 1st","Q1","4","195.5","2.45","1.52","4","NBA"
"07:43:19 AM","10:26 1st","Q1","6","195.5","2.45","1.52","4","NBA"
"07:43:36 AM","9:52 1st","Q1","6","193.5","2.45","1.52","4","NBA"
"07:43:52 AM","9:52 1st","Q1","6","193.5","2.45","1.52","4","NBA"
"07:44:14 AM","9:33 1st","Q1","6","195.5","2.25","1.6","3","NBA"
"07:44:34 AM","9:33 1st","Q1","8","195.5","2.25","1.6","3","NBA"
"07:44:53 AM","9:04 1st","Q1","8","196.5","2.25","1.62","3","NBA"
"07:45:18 AM","9:04 1st","Q1","14","198.5","2.25","1.62","3","NBA"
"07:45:39 AM","8:23 1st","Q1","16","198.5","2.25","1.62","3","NBA"
"07:45:58 AM","8:05 1st","Q1","16","198.5","2.25","1.62","3","NBA"
"07:46:17 AM","8:05 1st","Q1","16","198.5","2.25","1.62","3","NBA"
"07:46:42 AM","7:52 1st","Q1","17","197.5","2.25","1.62","3","NBA"
"07:46:57 AM","7:41 1st","Q1","17","196.5","2.25","1.6","3","NBA"
"07:47:19 AM","7:41 1st","Q1","17","196.5","2.25","1.6","3","NBA"
"07:47:40 AM","7:26 1st","Q1","17","194.5","2.25","1.6","3","NBA"
"07:48:00 AM","7:26 1st","Q1","17","194.5","2.25","1.6","3","NBA"
"07:48:18 AM","7:20 1st","Q1","19","195.5","2.45","1.52","4","NBA"
"07:48:35 AM","7:20 1st","Q1","19","195.5","2.45","1.52","4","NBA"
"07:48:57 AM","7:20 1st","Q1","19","195.5","2.45","1.52","4","NBA"
"07:49:17 AM","7:20 1st","Q1","19","195.5","2.45","1.52","4","NBA"
"07:49:36 AM","7:20 1st","Q1","19","195.5","2.45","1.52","4","NBA"
"07:49:57 AM","7:20 1st","Q1","19","195.5","2.45","1.52","4","NBA"
"07:50:21 AM","7:20 1st","Q1","19","195.5","2.45","1.52","4","NBA"
"07:50:38 AM","7:02 1st","Q1","22","198.5","2.25","1.6","3","NBA"
"07:50:59 AM","7:02 1st","Q1","22","198.5","2.25","1.6","3","NBA"
"07:51:20 AM","6:23 1st","Q1","22","197.5","2.25","1.6","3","NBA"
"07:51:36 AM","6:14 1st","Q1","27","197.5","2.25","1.6","3","NBA"
"07:51:54 AM","6:14 1st","Q1","27","200.5","2.15","1.66","2","NBA"
"07:52:19 AM","6:14 1st","Q1","29","200.5","2.15","1.66","2","NBA"
"07:52:34 AM","5:18 1st","Q1","29","197.5","2.15","1.66","2","NBA"
"07:52:54 AM","5:18 1st","Q1","31","198.5","2.35","1.56","3","NBA"
"07:53:16 AM","4:58 1st","Q1","31","198.5","2.35","1.56","3","NBA"
"07:53:36 AM","4:48 1st","Q1","31","197.5","2.25","1.6","3","NBA"
"07:53:59 AM","4:48 1st","Q1","31","197.5","2.25","1.6","3","NBA"
"07:54:20 AM","4:38 1st","Q1","31","199.5","2.35","1.56","3","NBA"
"07:54:36 AM","4:38 1st","Q1","37","199.5","2.35","1.56","3","NBA"
"07:54:57 AM","4:38 1st","Q1","37","199.5","2.25","1.6","3","NBA"
"07:55:16 AM","3:57 1st","Q1","37","199.5","2.25","1.6","3","NBA"
"07:55:35 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:55:56 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:56:15 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:56:32 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:56:56 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:57:17 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:57:35 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:57:53 AM","3:29 1st","Q1","37","198.5","2.25","1.6","3","NBA"
"07:58:11 AM","3:29 1st","Q1","37","197.5","2.15","1.66","2","NBA"
"07:58:35 AM","3:23 1st","Q1","37","197.5","2.15","1.66","2","NBA"
"07:58:52 AM","3:23 1st","Q1","41","199.5","2.25","1.6","3","NBA"
"07:59:13 AM","2:50 1st","Q1","41","199.5","2.25","1.6","3","NBA"
"07:59:36 AM","2:31 1st","Q1","43","198.5","2.35","1.56","3","NBA"
"07:59:55 AM","2:03 1st","Q1","43","198.5","2.35","1.56","3","NBA"
"08:00:17 AM","2:03 1st","Q1","44","199.5","2.45","1.52","4","NBA"
"08:00:34 AM","2:02 1st","Q1","44","199.5","2.45","1.52","4","NBA"
"08:00:56 AM","2:02 1st","Q1","45","199.5","2.6","1.48","4","NBA"
"08:01:17 AM","2:02 1st","Q1","45","199.5","2.6","1.48","4","NBA"
"08:01:40 AM","2:02 1st","Q1","45","199.5","2.6","1.48","4","NBA"
"08:01:54 AM","1:51 1st","Q1","45","199.5","2.6","1.48","4","NBA"
"08:02:16 AM","1:51 1st","Q1","46","199.5","2.6","1.46","4","NBA"
"08:02:37 AM","1:51 1st","Q1","46","199.5","2.6","1.46","4","NBA"
"08:03:00 AM","1:27 1st","Q1","48","198.5","2.75","1.42","5","NBA"
"08:03:20 AM",":56.9 1st","Q1","48","198.5","2.75","1.42","5","NBA"
"08:03:37 AM",":56.9 1st","Q1","48","197.5","2.7","1.44","5","NBA"
"08:03:55 AM",":23.9 1st","Q1","48","197.5","2.7","1.44","5","NBA"
"08:04:15 AM",":34.6 1st","Q1","48","196.5","2.5","1.5","4","NBA"
"08:04:38 AM",":02.8 1st","Q1","50","196.5","2.5","1.5","4","NBA"
"08:04:56 AM",":02.8 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:05:15 AM",":02.8 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:05:33 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:05:53 AM",":02.8 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:06:11 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:06:36 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:07:00 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:07:19 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:07:38 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:07:56 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
"08:08:17 AM","End 1st","Q1","51","197.5","2.45","1.52","3","NBA"
