"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:58:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:30 AM",NA,NA,NA,"221.5","3.25","1.32","7","NBA"
"09:10:52 AM",NA,NA,NA,"221.5","3.25","1.32","7","NBA"
"09:11:09 AM",NA,NA,NA,"221.5","3.3","1.3","7","NBA"
"09:11:27 AM","12:00 1st",NA,NA,"220.5","3.3","1.3","7","NBA"
"09:11:51 AM","12:00 1st",NA,NA,"220.5","3.3","1.3","7","NBA"
"09:12:10 AM","11:15 1st","Q1","2","220.5","3.6","1.26","8","NBA"
"09:12:28 AM","10:52 1st","Q1","2","218.5","3.6","1.26","8","NBA"
"09:13:05 AM","10:37 1st","Q1","2","218.5","3.6","1.26","8","NBA"
"09:13:42 AM","10:36 1st","Q1","2","218.5","4.1","1.2","8","NBA"
"09:13:52 AM","10:36 1st","Q1","2","218.5","4.1","1.2","8","NBA"
"09:14:08 AM","10:10 1st","Q1","2","218.5","4.1","1.2","8","NBA"
"09:14:29 AM","10:10 1st","Q1","8","219.5","4.1","1.2","8","NBA"
"09:14:50 AM","9:31 1st","Q1","10","220.5","4","1.22","8","NBA"
"09:15:10 AM","9:18 1st","Q1","10","220.5","4","1.22","8","NBA"
"09:15:32 AM","9:05 1st","Q1","10","222.5","4","1.22","8","NBA"
"09:15:51 AM","9:05 1st","Q1","13","222.5","4","1.22","8","NBA"
"09:16:08 AM","9:05 1st","Q1","13","222.5","4","1.22","8","NBA"
"09:16:28 AM","8:55 1st","Q1","13","222.5","4","1.22","8","NBA"
"09:16:49 AM","8:21 1st","Q1","18","226.5","3.25","1.32","6","NBA"
"09:17:06 AM","8:21 1st","Q1","20","226.5","3.25","1.32","6","NBA"
"09:17:31 AM","7:54 1st","Q1","20","225.5","3.25","1.32","6","NBA"
"09:17:49 AM","7:54 1st","Q1","21","225.5","3.3","1.3","7","NBA"
"09:18:07 AM","7:54 1st","Q1","22","225.5","3.3","1.3","7","NBA"
"09:18:28 AM","7:34 1st","Q1","22","226.5","3.6","1.26","7","NBA"
"09:18:46 AM","7:54 1st","Q1","22","224.5","3.6","1.26","7","NBA"
"09:19:07 AM","7:34 1st","Q1","22","224.5","3.6","1.26","7","NBA"
"09:19:35 AM","7:25 1st","Q1","24","225.5","4.3","1.19","9","NBA"
"09:19:53 AM","6:43 1st","Q1","29","225.5","4.3","1.19","9","NBA"
"09:20:11 AM","7:01 1st","Q1","29","226.5","5.5","1.13","10","NBA"
"09:20:33 AM","6:24 1st","Q1","29","226.5","5.5","1.13","10","NBA"
"09:20:51 AM","6:24 1st","Q1","29","222.5","5.5","1.13","10","NBA"
"09:21:10 AM","6:24 1st","Q1","29","222.5","5.5","1.13","10","NBA"
"09:21:32 AM","6:24 1st","Q1","29","219.5","5.5","1.13","10","NBA"
"09:21:48 AM","6:24 1st","Q1","29","219.5","5.5","1.13","10","NBA"
"09:22:10 AM","6:24 1st","Q1","29","216.5","5.5","1.13","10","NBA"
"09:22:31 AM","6:24 1st","Q1","29","216.5","5.5","1.13","10","NBA"
"09:22:50 AM","6:14 1st","Q1","29","223.5","5.5","1.13","10","NBA"
"09:23:10 AM","6:14 1st","Q1","29","223.5","5.5","1.13","10","NBA"
"09:23:33 AM","6:14 1st","Q1","29","224.5","5","1.15","10","NBA"
"09:23:50 AM","6:24 1st","Q1","29","224.5","5","1.15","10","NBA"
"09:24:11 AM","5:45 1st","Q1","32","224.5","4.5","1.18","10","NBA"
"09:24:31 AM","5:45 1st","Q1","32","224.5","4.5","1.18","10","NBA"
"09:24:45 AM","5:45 1st","Q1","32","224.5","4.5","1.18","10","NBA"
"09:25:08 AM","5:45 1st","Q1","31","223.5","5","1.15","10","NBA"
"09:25:30 AM","5:45 1st","Q1","31","223.5","5","1.15","10","NBA"
"09:25:45 AM","5:45 1st","Q1","32","224.5","5","1.15","10","NBA"
"09:26:05 AM","5:45 1st","Q1","32","224.5","5","1.15","10","NBA"
"09:26:31 AM","5:45 1st","Q1","35","226.5","5.2","1.14","10","NBA"
"09:26:46 AM","4:58 1st","Q1","35","226.5","5.2","1.14","10","NBA"
"09:27:11 AM","4:19 1st","Q1","40","228.5","5.5","1.13","10","NBA"
"09:27:27 AM","4:19 1st","Q1","43","228.5","5.5","1.13","10","NBA"
"09:27:49 AM","4:19 1st","Q1","43","228.5","6","1.11","11","NBA"
"09:28:07 AM","3:31 1st","Q1","43","228.5","7","1.08","13","NBA"
"09:28:26 AM","3:19 1st","Q1","45","228.5","7","1.08","13","NBA"
"09:28:49 AM","3:19 1st","Q1","45","227.5","7","1.08","13","NBA"
"09:29:08 AM","3:06 1st","Q1","45","227.5","7","1.08","13","NBA"
"09:29:26 AM","3:06 1st","Q1","48","227.5","7","1.08","13","NBA"
"09:29:47 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:30:07 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:30:31 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:30:49 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:31:11 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:31:33 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:31:49 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:32:11 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:32:32 AM","2:48 1st","Q1","49","228.5","6.75","1.09","12","NBA"
"09:32:58 AM","2:37 1st","Q1","50","228.5","6.75","1.09","12","NBA"
"09:33:13 AM","2:20 1st","Q1","53","230.5","6.25","1.1","11","NBA"
"09:33:36 AM","2:20 1st","Q1","53","230.5","6.25","1.1","11","NBA"
"09:33:54 AM","2:20 1st","Q1","54","231.5","6.25","1.1","11","NBA"
"09:34:13 AM","2:06 1st","Q1","59","231.5","6.25","1.1","11","NBA"
"09:34:32 AM","1:36 1st","Q1","59","236.5","5.7","1.12","11","NBA"
"09:34:51 AM","1:52 1st","Q1","63","236.5","5.7","1.12","11","NBA"
"09:35:11 AM","1:17 1st","Q1","65","236.5","6.25","1.1","11","NBA"
"09:35:30 AM","1:36 1st","Q1","65","236.5","6.25","1.1","11","NBA"
"09:35:49 AM",":34.4 1st","Q1","65","235.5","5.7","1.12","11","NBA"
"09:36:07 AM",":03.5 1st","Q1","69","235.5","5.7","1.12","11","NBA"
"09:36:32 AM",":03.5 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:36:48 AM","End 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:37:10 AM","End 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:37:28 AM","End 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:37:47 AM",":03.5 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:38:05 AM","End 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:38:37 AM","End 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:38:50 AM","End 1st","Q1","69","236.5","6.25","1.1","11","NBA"
"09:39:12 AM","End 1st","Q1","69","234.5","6","1.11","11","NBA"
"09:39:29 AM","11:40 2nd","Q1","69","234.5","6","1.11","11","NBA"
"09:39:48 AM","11:23 2nd","Q2","71","233.5","5.7","1.12","10","NBA"
"09:40:12 AM","11:23 2nd","Q2","71","233.5","5.7","1.12","10","NBA"
"09:40:30 AM","11:13 2nd","Q2","71","232.5","5.7","1.12","10","NBA"
"09:40:53 AM","10:55 2nd","Q2","71","232.5","5.7","1.12","10","NBA"
"09:41:11 AM","10:32 2nd","Q2","73","231.5","4.8","1.16","9","NBA"
"09:41:43 AM","10:15 2nd","Q2","73","230.5","5","1.15","9","NBA"
"09:41:52 AM","10:15 2nd","Q2","73","230.5","5","1.15","9","NBA"
"09:42:10 AM","10:15 2nd","Q2","73","227.5","4.8","1.16","9","NBA"
"09:42:31 AM","10:23 2nd","Q2","73","227.5","4.8","1.16","9","NBA"
"09:42:46 AM","10:15 2nd","Q2","75","228.5","4.3","1.19","8","NBA"
"09:43:10 AM","10:15 2nd","Q2","75","228.5","4.3","1.19","8","NBA"
