"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:44:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:45:25 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:45:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:46:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:46:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:46:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:47:04 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:47:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:47:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:48:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:48:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:48:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:48:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:49:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:49:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:49:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:50:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:50:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:50:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:51:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:51:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:51:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:52:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:52:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:52:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:53:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:53:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:54:07 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:54:22 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:54:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:54:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:55:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:55:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:55:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:56:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:56:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:56:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:57:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:57:37 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:57:53 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:58:23 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:58:34 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:58:55 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:59:22 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:59:41 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:00:01 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:00:29 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:00:39 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:00:57 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:01:20 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:01:36 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:02:04 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:02:29 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:02:37 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:02:59 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:03:16 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:03:43 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:03:54 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:04:18 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:04:36 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:04:59 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:05:22 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:05:36 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:05:55 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:06:19 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:06:37 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:01 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:18 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:40 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:56 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:08:16 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:08:38 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:08:54 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:09:17 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:09:37 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:09:54 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:10:20 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:10:40 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:10:57 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:14:56 AM","1st 19:12",NA,NA,"160.5","11","1.02","17.5","NCAA"
"10:15:25 AM","1st 18:52","First Half","2","160.5","11","1.02","17.5","NCAA"
"10:15:38 AM","1st 18:52","First Half","2","161.5","12","1.02","18.5","NCAA"
"10:15:55 AM","1st 18:52","First Half","2","161.5","12","1.02","18.5","NCAA"
"10:16:21 AM","1st 18:52","First Half","2","162","12","1.02","18.5","NCAA"
"10:16:35 AM","1st 18:52","First Half","2","162","12","1.02","18.5","NCAA"
"10:16:57 AM","1st 18:52","First Half","2","162","12","1.02","18.5","NCAA"
"10:17:20 AM","1st 18:06","First Half","2","162","12","1.02","18.5","NCAA"
"10:17:34 AM","1st 18:06","First Half","2","158.5","13","1.01","18.5","NCAA"
"10:17:57 AM","1st 18:06","First Half","2","158.5","13","1.01","18.5","NCAA"
"10:18:19 AM","1st 17:13","First Half","2","159","14","1.01","19.5","NCAA"
"10:18:35 AM","1st 17:39","First Half","3","159","14","1.01","19.5","NCAA"
"10:18:57 AM","1st 17:13","First Half","3","159","14","1.01","19.5","NCAA"
"10:19:16 AM","1st 17:13","First Half","3","159","14","1.01","19.5","NCAA"
"10:19:36 AM","1st 17:13","First Half","3","156.5","13","1.01","21.5","NCAA"
"10:19:57 AM","1st 16:30","First Half","5","156.5","13","1.01","21.5","NCAA"
"10:20:19 AM","1st 16:30","First Half","5","155.5","34","1.004","22.5","NCAA"
"10:20:41 AM","1st 15:30","First Half","5","155.5","34","1.004","22.5","NCAA"
"10:20:59 AM","1st 15:30","First Half","13","159.5","21","1.005","22.5","NCAA"
"10:21:16 AM","1st 15:30","First Half","13","159.5","21","1.005","22.5","NCAA"
"10:21:37 AM","1st 15:30","First Half","13","160.5","34","1.002","23.5","NCAA"
"10:21:57 AM","1st 15:30","First Half","13","160.5","34","1.002","23.5","NCAA"
"10:22:17 AM","1st 15:30","First Half","13","159.5","21","1.005","23.5","NCAA"
"10:22:44 AM","1st 15:30","First Half","13","159.5","21","1.005","23.5","NCAA"
"10:22:56 AM","1st 15:30","First Half","13","158.5","15","1.01","22.5","NCAA"
"10:23:22 AM","1st 15:30","First Half","13","158.5","15","1.01","22.5","NCAA"
"10:23:37 AM","1st 15:30","First Half","13","157.5","15","1.01","21.5","NCAA"
"10:24:00 AM","1st 15:30","First Half","13","157.5","15","1.01","21.5","NCAA"
"10:24:14 AM","1st 15:30","First Half","13","158.5","41","1.002","24.5","NCAA"
"10:24:39 AM","1st 15:21","First Half","13","158.5","41","1.002","24.5","NCAA"
"10:24:56 AM","1st 15:21","First Half","13","158.5","81","1.93","26.5","NCAA"
"10:25:16 AM","1st 15:10","First Half","18","158.5","81","1.93","26.5","NCAA"
"10:25:40 AM","1st 15:10","First Half","18","159.5","81","1.91","26.5","NCAA"
"10:25:55 AM","1st 14:20","First Half","18","159.5","81","1.91","26.5","NCAA"
