"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:58:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:48 AM",NA,NA,NA,"228","1.68","2.1","2","NBA"
"09:11:49 AM","11:27 1st",NA,NA,"228","1.68","2.1","2","NBA"
"09:12:15 AM","11:27 1st",NA,NA,"228","1.68","2.1","2","NBA"
"09:12:26 AM","10:46 1st",NA,NA,"227.5","1.66","2.15","2","NBA"
"09:12:50 AM","10:30 1st",NA,NA,"227.5","1.66","2.15","2","NBA"
"09:13:13 AM","10:23 1st",NA,NA,"229.5","1.6","2.25","3","NBA"
"09:13:30 AM","10:06 1st",NA,NA,"228.5","1.66","2.15","2","NBA"
"09:13:48 AM","9:45 1st",NA,NA,"228.5","1.66","2.15","2","NBA"
"09:14:03 AM","9:45 1st",NA,NA,"230.5","1.6","2.25","3","NBA"
"09:14:28 AM","9:08 1st","Q1","12","230.5","1.6","2.25","3","NBA"
"09:14:50 AM","8:54 1st","Q1","12","230.5","1.7","2.1","2","NBA"
"09:15:07 AM","8:34 1st","Q1","12","230.5","1.7","2.1","2","NBA"
"09:15:33 AM","8:08 1st","Q1","19","227.5","1.72","2.05","2","NBA"
"09:15:48 AM","7:43 1st","Q1","19","226.5","1.7","2.1","2","NBA"
"09:16:08 AM","7:40 1st","Q1","19","226.5","1.7","2.1","2","NBA"
"09:16:37 AM","7:40 1st","Q1","21","227.5","1.66","2.15","2","NBA"
"09:16:45 AM","7:09 1st","Q1","21","227.5","1.66","2.15","2","NBA"
"09:17:08 AM","7:02 1st","Q1","21","225.5","1.62","2.25","3","NBA"
"09:17:42 AM","7:02 1st","Q1","21","226.5","1.6","2.25","3","NBA"
"09:17:48 AM","7:02 1st","Q1","21","226.5","1.6","2.25","3","NBA"
"09:18:03 AM","7:02 1st","Q1","22","226.5","1.6","2.25","3","NBA"
"09:18:27 AM","6:42 1st","Q1","22","227.5","1.7","2.1","2","NBA"
"09:18:50 AM","6:42 1st","Q1","22","227.5","1.7","2.1","2","NBA"
"09:19:02 AM","6:10 1st","Q1","22","226.5","1.8","1.95","1","NBA"
"09:19:23 AM","6:10 1st","Q1","27","226.5","1.8","1.95","1","NBA"
"09:19:44 AM","5:24 1st","Q1","27","227.5","1.8","1.95","1","NBA"
"09:20:01 AM","5:24 1st","Q1","27","227.5","1.8","1.95","1","NBA"
"09:20:23 AM","4:56 1st","Q1","27","224.5","1.72","2.05","2","NBA"
"09:20:46 AM","4:56 1st","Q1","27","224.5","1.72","2.05","2","NBA"
"09:21:00 AM","4:56 1st","Q1","31","224.5","1.72","2.05","2","NBA"
"09:21:28 AM","4:56 1st","Q1","31","224.5","1.72","2.05","2","NBA"
"09:21:46 AM","4:56 1st","Q1","31","224.5","1.72","2.05","2","NBA"
"09:22:04 AM","4:56 1st","Q1","31","224.5","1.72","2.05","2","NBA"
"09:22:24 AM","4:56 1st","Q1","31","224.5","1.72","2.05","2","NBA"
"09:22:43 AM","4:56 1st","Q1","31","228.5","1.7","2.1","2","NBA"
"09:23:01 AM","4:42 1st","Q1","31","228.5","1.7","2.1","2","NBA"
"09:23:21 AM","4:42 1st","Q1","31","229.5","1.66","2.15","2","NBA"
"09:23:40 AM","4:00 1st","Q1","40","229.5","1.66","2.15","2","NBA"
"09:24:01 AM","3:44 1st","Q1","40","228.5","1.78","2","1","NBA"
"09:24:25 AM","3:44 1st","Q1","40","228.5","1.78","2","1","NBA"
"09:24:45 AM","3:33 1st","Q1","40","228.5","1.72","2.05","2","NBA"
"09:25:02 AM","3:33 1st","Q1","43","228.5","1.72","2.05","2","NBA"
